Id,communities
C94-2149,12
W03-1004,5
W03-1005,11
P11-1162,7
C04-1036,9
C04-1037,16
C04-1034,17
C04-1035,18
C04-1032,19
I05-2006,1
C04-1030,15
C04-1031,20
I05-2009,5
C04-1038,22
J02-1002,3
J08-3004,6
J02-1001,24
J02-1004,12
W04-0210,5
W04-0213,128
P84-1047,28
W98-0706,12
W98-0702,12
J08-3003,8
A92-1040,62
P93-1042,12
W10-1410,11
P09-1106,20
A92-1045,32
P09-1109,33
N13-1140,12
P06-2056,22
P06-2057,13
L08-1602,13
P06-2055,14
P06-2052,34
L08-1606,47
P06-2051,14
D11-1084,48
P11-1164,12
D11-1080,11
E09-1060,12
W06-3110,23
W06-3112,20
C92-2100,35
D09-1127,11
A88-1030,12
C00-2159,38
C00-2155,8
C00-2156,12
C00-2157,0
C00-2150,40
C00-2152,15
W10-2004,0
I05-2003,44
C04-1033,4
W05-0706,12
W97-0812,22
W97-0811,12
W97-0810,12
P13-1121,5
C96-2137,47
C96-2136,12
W05-0708,12
W05-0709,26
P13-1126,48
P04-3009,6
P11-5003,3
P10-1142,4
P10-1143,13
D09-1061,27
D09-1060,8
P10-1146,15
D09-1066,25
P10-1144,21
S12-1012,9
S12-1016,13
W04-0915,5
S12-1018,27
W06-1206,50
W10-4150,11
P07-1102,1
P07-1103,11
P07-1106,34
P07-1104,11
P07-1105,50
P07-1108,19
P07-1109,57
W05-0828,19
W02-0701,19
J03-1002,20
J03-1005,20
J03-1004,19
W07-0308,1
W00-0707,20
W00-0706,8
W00-0705,40
W00-0702,52
H05-1062,26
E03-3006,5
W00-0709,50
I08-4021,12
I08-4023,34
I08-4029,34
W05-0821,12
P95-1053,6
D08-1009,10
H01-1031,0
H01-1036,10
H01-1039,16
P88-1012,54
W10-3208,27
W10-3209,27
W04-2407,11
W04-2405,27
W04-2401,14
W07-1308,57
X98-1026,5
X98-1021,3
D12-1085,6
D12-1084,9
D12-1086,12
N10-1034,50
N10-1035,58
D12-1083,11
N03-2010,4
H01-1074,12
W11-0408,0
E91-1025,12
E91-1027,12
L08-1383,11
J92-4004,61
H01-1070,3
H01-1071,19
C96-1009,12
W95-0109,12
W95-0107,12
W95-0106,47
J03-2002,42
J03-2003,6
J03-2004,22
W95-0101,12
P09-1105,23
P06-1084,12
P06-1081,25
W13-2319,47
J84-2001,28
P06-1089,26
L08-1162,12
W11-2011,6
E12-1011,10
W06-0125,12
W06-0124,7
W06-0127,34
C08-1124,13
W06-0123,34
W08-2126,13
P11-2034,50
I05-6010,0
W12-0406,21
W12-0405,21
P11-1158,50
W10-3708,34
W10-3707,63
W03-1010,34
W03-1013,50
P11-1157,8
W03-1017,27
W03-1016,26
C04-1109,14
P11-2039,5
C04-1021,14
C04-1020,3
C04-1023,34
C04-1022,12
C04-1025,64
C04-1024,0
C04-1027,50
C04-1026,50
I05-2036,11
I05-2033,21
I05-2030,27
C92-1013,61
I05-2038,50
L08-1600,13
W98-0711,22
W98-0718,6
C04-1107,5
P09-1110,14
P06-2041,11
P06-2040,47
P06-2043,22
P06-2042,11
P06-2045,34
P06-2048,11
D11-1097,13
D11-1096,13
D11-1094,13
D11-1092,65
W06-3119,11
D11-1099,4
