Id,communities
P03-1011,0
J08-3008,0
C94-2149,1
P09-1076,2
W10-3711,3
E09-1064,4
W03-1004,2
W12-3801,5
P11-1163,4
P79-1025,1
C04-1033,0
W13-1502,4
W02-0805,3
W09-0429,1
D08-1002,6
J02-1004,0
H05-1061,0
P84-1043,5
W06-3203,1
W11-0405,4
T75-2009,3
W98-0702,3
J07-2003,0
P93-1044,6
W04-0109,6
P09-1106,1
P11-1013,2
W03-1313,2
E93-1010,4
P06-2056,6
C86-1079,4
E95-1032,0
L08-1606,4
W01-1017,2
D11-1086,2
W06-3119,0
W09-1803,3
W13-2256,1
N07-1009,4
C92-2103,4
P11-2049,2
N10-1076,5
P00-1075,2
D09-1127,4
C96-1057,4
P12-2068,4
N13-1039,3
W10-2002,5
C00-2156,0
W12-3152,5
W06-2904,4
P09-2015,2
C92-2073,1
H90-1092,1
N04-1011,4
C80-1040,4
W05-0704,2
W06-1513,0
C96-2138,2
M93-1010,6
H89-1023,2
P11-5005,5
P10-1149,0
P07-2035,2
P04-3001,1
D09-1067,2
P05-1027,2
P85-1007,2
C90-2025,5
W09-1112,5
N06-4003,2
S12-1017,2
W06-1206,4
W98-1416,1
P07-1106,0
J05-4002,4
J98-4001,5
P11-2119,4
D12-1100,0
C10-2045,5
N07-2007,0
W10-2922,0
J03-1003,0
W00-0705,5
W09-3506,5
E03-3001,3
I08-4026,0
H93-1052,3
H93-1102,1
W04-0864,1
N09-2027,2
P95-1055,4
C88-1033,4
Q13-1017,4
H01-1036,2
C82-1008,2
W07-1018,1
P88-1012,1
W99-0509,4
H94-1097,2
W09-2205,4
W04-3102,2
I05-1028,6
W04-2409,2
P09-4010,0
N06-1016,3
W09-2909,3
E12-1041,1
P07-1076,6
X98-1025,0
W97-0620,0
N09-1042,6
W13-4040,2
L08-1546,1
N03-2015,3
W07-1305,2
D12-1080,3
N10-1036,2
D13-1065,6
P98-1016,4
E91-1024,2
L08-1386,2
W10-4348,2
W01-0511,4
P81-1013,1
C08-1018,3
A92-1040,1
J92-4002,2
S13-2043,3
P12-1039,1
D10-1041,5
W95-0107,0
I08-7004,5
W13-2312,2
C92-4195,3
P06-1083,2
J10-4009,5
L08-1166,2
W11-2015,1
E89-1006,2
P10-2009,1
W06-0121,5
W12-0409,2
W10-1903,0
P03-1001,2
C94-2159,5
P09-1066,6
J12-2004,4
W11-1720,2
W03-1014,3
W10-3701,4
E09-1074,2
C04-1023,1
W06-2501,0
I05-2030,0
W02-0815,2
C92-1012,2
W12-2036,1
W11-2708,4
W03-0302,1
C04-1103,0
N12-3006,5
H05-1051,2
W98-0712,2
P84-1053,0
P09-1116,3
P11-1023,0
W03-1303,6
E85-1027,5
P06-2046,2
C86-1069,0
L08-1616,2
C04-1113,4
W03-0312,0
D11-1096,4
E03-1086,5
C92-2113,5
W12-1509,1
W06-0906,2
W06-3303,6
W04-1503,4
C08-1048,6
W13-1402,2
E83-1009,5
W09-0704,2
I08-2080,5
W94-0310,5
W12-1601,2
C00-2146,4
W12-3142,1
C04-1203,5
J89-3002,1
P09-2025,2
W02-1210,5
W12-4404,6
S10-1010,1
H90-1082,0
N04-4016,1
N04-1021,0
W06-1523,5
W02-1039,0
C80-1070,1
P13-1159,2
W04-1610,0
C96-1037,3
W10-1608,1
I08-4006,3
P11-2059,5
P07-2005,1
P10-1159,5
H89-1013,5
D09-1057,2
P04-3011,3
P05-1017,6
W12-3212,4
H93-1112,0
S12-1027,6
P07-1116,5
W10-1913,4
C10-2075,5
N07-2017,1
J79-1070,1
M91-1016,2
E91-1004,4
W00-0735,0
W09-3536,5
C92-3154,1
D10-1101,2
H93-1022,6
W10-2801,3
H91-1102,5
N09-2037,2
W09-0409,1
W10-1827,2
H01-1026,6
C88-1023,2
P12-1099,0
Q13-1008,0
H94-1087,5
W12-1305,5
W04-3112,5
I05-1038,2
W09-3402,5
W04-2419,6
J88-3005,5
W97-1011,3
W07-0310,5
P07-1066,0
D12-1070,5
H92-1096,5
L08-1576,0
N03-2025,0
W13-4050,1
N10-1026,5
N03-3007,6
P98-1006,0
W08-1706,2
L08-1376,2
P81-1003,4
D10-1071,1
W09-3716,2
C90-3092,4
C08-1008,4
W13-3302,0
W05-0812,5
P82-1037,5
C96-1017,1
W97-0709,0
P06-1093,5
W13-2302,1
L08-1116,2
W07-1205,0
W11-2025,2
P08-2053,2
E89-1016,5
L08-1286,6
C08-1138,0
P10-2019,4
D13-1125,2
C02-1031,1
N09-1072,2
I05-6004,2
P83-1018,4
P89-1027,4
C94-2129,5
E09-1044,0
W07-2080,1
W07-0813,0
P79-1005,2
I05-2020,0
L08-1026,4
C04-1053,5
W12-2026,1
W93-0226,2
C92-1022,4
L08-1596,4
